date,ad_male,yearling_male,ad_female,yearling_female,yearling,calf,unknown,ids,collars,total
6/25/2016,1,0,0,0,NA,0,0,NA,0,1
6/25/2016,1,0,5,0,NA,1,0,FO2016010,1,7
6/25/2016,0,0,0,0,NA,1,0,,0,1
6/25/2016,0,0,1,0,NA,0,0,NA,0,1
8/25/2016,0,0,0,1,NA,0,0,NA,0,1
8/25/2016,0,0,2,0,NA,2,0,NA,0,4
6/26/2016,0,0,1,0,NA,0,0,NA,0,1
6/26/2016,0,0,1,0,NA,0,0,FO2016014,1,1
6/26/2016,0,0,1,0,NA,0,0,FO2016015,1,1
6/28/2016,0,0,1,0,NA,0,0,FO2016007,1,1
6/28/2016,0,0,1,0,NA,0,0,FO2016012,1,1
6/28/2016,0,0,2,0,NA,0,0,FO2016010,1,2
6/28/2016,1,0,1,0,NA,1,0,FO2016004,1,3
6/28/2016,1,0,0,0,NA,0,0,NA,0,1
6/28/2016,0,0,1,0,NA,0,0,NA,0,1
6/28/2016,0,0,1,0,NA,1,0,FO2016003,1,2
6/28/2016,0,0,3,0,NA,2,0,FO2016011,1,5
5/29/2016,0,0,0,0,NA,0,9,NA,0,9
6/29/2016,0,0,1,0,NA,1,0,NA,0,2
6/29/2016,0,0,1,0,NA,0,0,FO2016002,1,1
6/29/2016,0,0,1,0,NA,0,0,FO2016015,1,1
6/29/2016,0,0,1,0,NA,0,0,NA,0,1
6/29/2016,0,0,1,0,NA,1,0,FO2016011,1,2
6/29/2016,2,0,0,0,NA,0,0,NA,0,2
8/29/2016,0,0,0,1,NA,0,0,NA,0,1
8/29/2016,0,0,2,3,NA,2,0,NA,0,7
5/1/2017,0,0,1,0,0,0,0,FO2016002,1,1
5/1/2017,0,0,1,0,0,0,0,FO2016007,1,1
5/1/2017,0,0,1,0,0,0,0,FO2016012,1,1
6/1/2017,0,0,1,0,0,1,0,FO2016004 & ,1,2
6/1/2017,0,0,1,0,0,1,0,FO2016010,1,2
6/1/2017,0,0,1,0,0,1,0,FO2016013,1,2
6/1/2017,0,0,6,0,6,0,0,FO2017011 & ,1,12
6/1/2017,0,0,1,0,0,1,0,,0,2
6/1/2017,0,0,1,0,0,0,0,NA,0,1
6/1/2017,0,0,1,0,2,0,0,NA,0,3
6/1/2017,0,0,0,0,1,0,0,NA,0,1
6/1/2017,0,0,1,0,0,0,0,NA,0,1
6/1/2017,0,1,2,1,0,0,0,FO2016005,1,4
6/1/2017,0,0,2,0,0,1,0,FO2016009,1,3
6/1/2017,1,0,1,0,0,0,0,FO2017014,1,2
6/1/2017,0,0,1,0,1,0,0,,0,2
7/1/2017,0,0,2,0,1,0,0,NA,0,3
7/1/2017,0,0,2,0,0,0,0,NA,0,2
7/1/2017,0,0,1,1,6,0,0, (ear tag only),0,8
7/1/2017,0,0,1,0,0,0,0,FO2017014,1,1
7/1/2017,1,0,0,0,0,0,0,NA,0,1
5/2/2017,0,0,1,0,0,0,0,FO2017008,1,1
5/2/2017,0,0,1,0,0,0,0,NA,0,1
6/2/2017,0,0,0,0,1,0,0,NA,0,1
6/2/2017,0,0,1,0,0,0,0,NA,0,1
6/2/2017,0,1,0,0,1,0,0,NA,0,2
6/2/2017,0,0,1,0,0,1,0,NA,0,2
6/2/2017,0,0,0,0,0,0,0,FO2016013,1,0
6/2/2017,0,0,1,0,0,0,0,FO2017011,1,1
6/2/2017,0,0,1,0,0,1,0,,0,2
6/2/2017,0,0,1,0,0,0,0,NA,0,1
6/2/2017,0,0,1,0,2,0,0,NA,0,3
7/2/2017,1,0,0,0,0,0,0,NA,0,1
7/2/2017,0,0,0,1,0,0,0,NA,0,1
7/2/2017,0,0,1,0,0,0,0,NA,0,1
9/2/2017,0,0,1,0,0,0,0,NA,0,1
6/3/2017,0,0,1,0,0,1,0,NA,0,2
6/3/2017,1,0,0,0,0,0,0,NA,0,1
